,Property_details,Area,Price,Area Type,Number of Sq ft
171,"4 BHK Independent House for Sale in Vadavalli, Coimbatore",2400 sqft,₹1.10 Cr ,Carpet Area,2400 sqft
172,"4 BHK Independent House for Sale in pollachi, Coimbatore",2400 sqft,₹80 Lac ,Carpet Area,2400 sqft
173,"3 BHK Independent House for Sale in Podunur, Coimbatore",230 sqft,₹95 Lac ,Carpet Area,230 sqft
174,"3 BHK Independent House for Sale in Bodipalyam, Coimbatore",1650 sqft,₹54 Lac ,Carpet Area,1650 sqft
175,"2 BHK Independent House for Sale in Narasimhanaicken Palayam, Coimbatore",2560 sqft,₹70 Lac ,Super Area,2560 sqft
176,"2 BHK Independent House for Sale in Chettipalayam, Coimbatore",720 sqft,₹35 Lac ,Carpet Area,720 sqft
177,"2 BHK Independent House for Sale in R.S. Puram, Coimbatore",10 sqft,₹40 Lac ,Carpet Area,10 sqft
178,"3 BHK Independent House for Sale in Kovilpalayam, Coimbatore",1400 sqft,₹87 Lac ,Carpet Area,1400 sqft
179,"3 BHK Independent House for Sale in Ganapathy, Coimbatore",1950 sqft,₹1.25 Cr ,Carpet Area,1950 sqft
180,"6 BHK Independent House for Sale in Villankurichi Road, Coimbatore",4200 sqft,₹2 Cr ,Super Area,4200 sqft
181,"2 BHK Independent House for Sale in Sathy Road, Coimbatore",1100 sqft,₹38 Lac ,Carpet Area,1100 sqft
182,"2 BHK Independent House for Sale in Veerakeralam, Coimbatore",100 sqft,₹80 Lac ,Carpet Area,100 sqft
183,"3 BHK Independent House for Sale in Avarampalayam, Coimbatore",975 sqft,₹90 Lac ,Carpet Area,975 sqft
184,"2 BHK Independent House for Sale in Othakal Mandapam, Coimbatore",1000 sqft,₹38 Lac ,Carpet Area,1000 sqft
185,"4 BHK Independent House for Sale in Singanallur, Coimbatore",2400 sqft,₹99 Lac ,Carpet Area,2400 sqft
186,"4 BHK Independent House for Sale in Peelamedu, Coimbatore",1428 sqft,₹1.95 Cr ,Carpet Area,1428 sqft
187,"2 BHK Independent House for Sale in Arasur, Coimbatore",1000 sqft,₹45 Lac ,Carpet Area,1000 sqft
188,"2 BHK Independent House for Sale in Thudiyalur, Coimbatore",1110 sqft,₹50 Lac ,Carpet Area,1110 sqft
189,"2 BHK Independent House for Sale in Kovai Pudur, Coimbatore",1000 sqft,₹1.25 Cr ,Carpet Area,1000 sqft
190,"2 BHK Independent House for Sale in Kuniyamuthur, Coimbatore",900 sqft,₹85 Lac ,Carpet Area,900 sqft
191,"2 BHK Independent House for Sale in Edayarpalayam, Coimbatore",1400 sqft,₹63 Lac ,Super Area,1400 sqft
192,"3 BHK Independent House for Sale in Ponnaiah Rajapuram, Coimbatore",981 sqft,₹75 Lac ,Super Area,981 sqft
193,"2 BHK Independent House for Sale in Peelamedu, Coimbatore",641 sqft,₹1.25 Cr ,Super Area,641 sqft
194,"2 BHK Independent House for Sale in Sedan Thottam, Coimbatore",927 sqft,₹90 Lac ,Carpet Area,927 sqft
195,"4 BHK Independent House for Sale in Sulur, Coimbatore",3000 sqft,₹1.35 Cr ,Super Area,3000 sqft
196,"4 BHK Independent House for Sale in Tatabad, Coimbatore",4100 sqft,₹4.50 Cr ,Super Area,4100 sqft
197,"2 BHK Independent House for Sale in Navavoor Pirivu, Coimbatore",1200 sqft,₹67.7 Lac ,Carpet Area,1200 sqft
198,"3 BHK Independent House for Sale in Velandi Palayam, Coimbatore",2800 sqft,₹1 Cr ,Super Area,2800 sqft
199,"1 BHK Independent House for Sale in Ramanathapuram, Coimbatore",548 sqft,₹33 Lac ,Carpet Area,548 sqft
200,"4 BHK Independent House for Sale in Vadavalli, Coimbatore",2800 sqft,₹1.20 Cr ,Super Area,2800 sqft
201,"1 BHK Independent House for Sale in Sulur, Coimbatore",120 sqft,₹18.9 Lac ,Carpet Area,120 sqft
202,"3 BHK Independent House for Sale in New Siddhapudur, Coimbatore",1900 sqft,₹2.60 Cr ,Carpet Area,1900 sqft
203,"4 BHK Independent House for Sale in Neelambur, Coimbatore",2600 sqft,₹1.50 Cr ,Carpet Area,2600 sqft
204,"3 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1950 sqft,₹90 Lac ,Super Area,1950 sqft
205,"2 BHK Independent House for Sale in Mathampalayam, Coimbatore",725 sqft,₹19 Lac ,Carpet Area,725 sqft
206,"2 BHK Independent House for Sale in Pattanam, Coimbatore",700 sqft,₹38 Lac ,Super Area,700 sqft
207,"2 BHK Independent House for Sale in Ondipudur, Coimbatore",1350 sqft,₹65 Lac ,Super Area,1350 sqft
208,"2 BHK Independent House for Sale in Mathampalayam, Coimbatore",2600 sqft,₹35.5 Lac ,Carpet Area,2600 sqft
209,2 BHK Independent House for Sale in Coimbatore,1050 sqft,₹38 Lac ,Carpet Area,1050 sqft
210,"2 BHK Independent House for Sale in Pattanam, Coimbatore",1300 sqft,₹48 Lac ,Super Area,1300 sqft
211,"2 BHK Independent House for Sale in Pannimadai, Coimbatore",1200 sqft,₹52 Lac ,Carpet Area,1200 sqft
212,"2 BHK Independent House for Sale in Rathinapuri, Coimbatore",2231 sqft,₹1.25 Cr ,Carpet Area,2231 sqft
213,"5 BHK Independent House for Sale in Vellakinar, Coimbatore",3950 sqft,₹2.76 Cr ,Super Area,3950 sqft
214,"3 BHK Independent House for Sale in Mani Nagar, Coimbatore",1700 sqft,₹1.50 Cr ,Carpet Area,1700 sqft
