,Property_details,Area,Price,Area Type,Number of Sq ft
535,"2 BHK Independent House for Sale in Shanthi Medu, Coimbatore",1060 sqft,₹40 Lac ,Super Area,1060 sqft
536,"2 BHK Independent House for Sale in Gandhi Park, Coimbatore",1500 sqft,₹1.65 Cr ,Carpet Area,1500 sqft
537,"2 BHK Independent House for Sale in Idigarai, Coimbatore",1300 sqft,₹49 Lac ,Carpet Area,1300 sqft
538,"1 BHK Independent House for Sale in Annur Metu Palayam, Coimbatore",500 sqft,₹12 Lac ,Super Area,500 sqft
539,"2 BHK Independent House for Sale in Velandi Palayam, Coimbatore",870 sqft,₹25 Lac ,Carpet Area,870 sqft
540,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",1600 sqft,₹85 Lac ,Super Area,1600 sqft
541,"3 BHK Independent House for Sale in Saibaba Colony, Coimbatore",2100 sqft,₹2.25 Cr ,Super Area,2100 sqft
542,"2 BHK Independent House for Sale in Sulur, Coimbatore",100 sqft,₹25.5 Lac ,Carpet Area,100 sqft
543,"6 BHK Independent House for Sale in Narayana Avenue Road, Coimbatore",2000 sqft,₹1.75 Cr ,Carpet Area,2000 sqft
544,"1 BHK Independent House for Sale in Kinathukadavu, Coimbatore",350 sqft,₹13.9 Lac ,Carpet Area,350 sqft
545,"2 BHK Independent House for Sale in Mettupalayam, Coimbatore",1300 sqft,₹30 Lac ,Carpet Area,1300 sqft
546,"2 BHK Independent House for Sale in Ganapathy, Coimbatore",1100 sqft,₹85 Lac ,Carpet Area,1100 sqft
547,2 BHK Independent House for Sale in Coimbatore,1200 sqft,₹25 Lac ,Super Area,1200 sqft
548,"2 BHK Independent House for Sale in Vellalore, Coimbatore",26 cent,₹36 Lac ,Carpet Area,26 cent
549,"3 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1740 sqft,₹39 Lac ,Super Area,1740 sqft
550,"2 BHK Independent House for Sale in Sulur, Coimbatore",1250 sqft,₹68 Lac ,Super Area,1250 sqft
551,"3 BHK Independent House for Sale in Thoppampatti Pirivu, Coimbatore",1500 cent,₹75 Lac ,Carpet Area,1500 cent
552,"2 BHK Independent House for Sale in Koundampalayam, Coimbatore",1300 sqft,₹75 Lac ,Super Area,1300 sqft
553,"2 BHK Independent House for Sale in Cheran ma Nagar, Coimbatore",2400 sqft,₹90 Lac ,Super Area,2400 sqft
554,"6 BHK Independent House for Sale in Podunur, Coimbatore",2528 sqft,₹1.80 Cr ,Super Area,2528 sqft
555,"2 BHK Independent House for Sale in Pattanam, Coimbatore",600 sqft,₹27.5 Lac ,Carpet Area,600 sqft
556,"2 BHK Independent House for Sale in Vaiyampalayam, Coimbatore",1000 sqft,₹25 Lac ,Carpet Area,1000 sqft
557,"2 BHK Independent House for Sale in Neelambur, Coimbatore",1200 sqft,₹49 Lac ,Super Area,1200 sqft
558,"3 BHK Independent House for Sale in Ondipudur, Coimbatore",1800 sqft,₹50 Lac ,Super Area,1800 sqft
559,"4 BHK Independent House for Sale in Thirumurugan Nagar, Coimbatore",4200 sqft,₹1.80 Cr ,Carpet Area,4200 sqft
560,"2 BHK Independent House for Sale in Sungam, Coimbatore",2398 sqft,₹2.20 Cr ,Super Area,2398 sqft
561,"3 BHK Independent House for Sale in Vadamadurai, Coimbatore",1800 sqft,₹90 Lac ,Carpet Area,1800 sqft
562,"2 BHK Independent House for Sale in NGGO Colony, Coimbatore",1400 sqft,₹42 Lac ,Super Area,1400 sqft
563,"3 BHK Independent House for Sale in Narasimhanaicken Palayam, Coimbatore",1100 sqft,₹50 Lac ,Carpet Area,1100 sqft
564,"1 BHK Independent House for Sale in Pattanam Pudur, Coimbatore",450 sqft,₹39 Lac ,Carpet Area,450 sqft
565,"1 BHK Independent House for Sale in Karumathampatti, Coimbatore",800 sqft,₹32 Lac ,Super Area,800 sqft
566,"2 BHK Independent House for Sale in Ganapathy Nagar, Coimbatore",1852 sqft,₹72 Lac ,Super Area,1852 sqft
567,3 BHK Independent House for Sale in Coimbatore,1520 sqft,₹60 Lac ,Super Area,1520 sqft
568,"2 BHK Independent House for Sale in Saravanampatty, Coimbatore",1272 sqft,₹44 Lac ,Carpet Area,1272 sqft
569,"3 BHK Independent House for Sale in Saravanampatty, Coimbatore",200 sqft,₹82 Lac ,Carpet Area,200 sqft
570,"3 BHK Independent House for Sale in Edayarpalayam, Coimbatore",2400 sqft,₹2 Cr ,Super Area,2400 sqft
571,"2 BHK Independent House for Sale in pollachi, Coimbatore",1100 sqft,₹90 Lac ,Super Area,1100 sqft
572,"1 BHK Independent House for Sale in Avarampalayam, Coimbatore",1600 sqft,₹90 Lac ,Carpet Area,1600 sqft
573,"2 BHK Independent House for Sale in JJ Nagar, Coimbatore",1200 sqft,₹48 Lac ,Super Area,1200 sqft
574,"2 BHK Independent House for Sale in Podunur, Coimbatore",1200 sqft,₹42 Lac ,Super Area,1200 sqft
575,"> 10 BHK Independent House for Sale in Ganapathy, Coimbatore",6000 sqft,₹2.10 Cr ,Super Area,6000 sqft
576,"2 BHK Independent House for Sale in Othakal Mandapam, Coimbatore",800 sqft,₹20.9 Lac ,Carpet Area,800 sqft
577,"3 BHK Independent House for Sale in Ganapathy Nagar, Coimbatore",2400 sqft,₹65 Lac ,Super Area,2400 sqft
578,"2 BHK Independent House for Sale in Karamadai, Coimbatore",200 sqft,₹39 Lac ,Carpet Area,200 sqft
579,"2 BHK Independent House for Sale in Palakkad Main Road, Coimbatore",1200 sqft,₹80 Lac ,Super Area,1200 sqft
580,"1 BHK Independent House for Sale in pollachi, Coimbatore",432 sqft,₹10 Lac ,Super Area,432 sqft
581,"6 BHK Independent House for Sale in Saibaba Colony, Coimbatore",7000 sqft,₹4 Cr ,Super Area,7000 sqft
582,"2 BHK Independent House for Sale in Sulur, Coimbatore",2400 sqft,₹70 Lac ,Super Area,2400 sqft
583,"3 BHK Independent House for Sale in Gandhipuram, Coimbatore",2175 sqft,₹95 Lac ,Super Area,2175 sqft
584,"1 BHK Independent House for Sale in Gandhimaa Nagar, Coimbatore",350 sqft,₹53 Lac ,Carpet Area,350 sqft
585,"2 BHK Independent House for Sale in Kanuvai, Coimbatore",700 sqft,₹31 Lac ,Super Area,700 sqft
586,"2 BHK Independent House for Sale in Madukkarai, Coimbatore",1100 sqft,₹50 Lac ,Super Area,1100 sqft
587,"4 BHK Independent House for Sale in PN Pudur, Coimbatore",2200 sqft,₹100 Lac ,Super Area,2200 sqft
588,"3 BHK Independent House for Sale in Kinathukadavu, Coimbatore",1500 sqft,₹70 Lac ,Carpet Area,1500 sqft
589,"7 BHK Independent House for Sale in Ram Nagar, Coimbatore",2500 sqft,₹2.20 Cr ,Carpet Area,2500 sqft
590,1 BHK Independent House for Sale in Coimbatore,450 sqft,₹9.9 Lac ,Super Area,450 sqft
591,"3 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",1700 sqft,₹60 Lac ,Carpet Area,1700 sqft
592,"4 BHK Independent House for Sale in Saibaba Colony, Coimbatore",2000 sqft,₹2 Cr ,Carpet Area,2000 sqft
593,"1 BHK Independent House for Sale in Sulur, Coimbatore",1200 sqft,₹32 Lac ,Carpet Area,1200 sqft
594,"3 BHK Independent House for Sale in Vadavalli, Coimbatore",1850 sqft,₹85 Lac ,Super Area,1850 sqft
595,"3 BHK Independent House for Sale in Kuniyamuthur, Coimbatore",1500 sqft,₹53 Lac ,Super Area,1500 sqft
596,"2 BHK Independent House for Sale in Othakal Mandapam, Coimbatore",1980 sqft,₹40 Lac ,Super Area,1980 sqft
597,"2 BHK Independent House for Sale in Vellanaipatti, Coimbatore",1100 sqft,₹52 Lac ,Super Area,1100 sqft
598,"3 BHK Independent House for Sale in K K Pudur, Coimbatore",1100 sqft,₹80 Lac ,Super Area,1100 sqft
599,"2 BHK Independent House for Sale in Peelamedu, Coimbatore",360 sqft,₹20 Lac ,Super Area,360 sqft
